x,y,v,p
50,176,1,star.png
50,177,1,star.png
50,180,1,star.png
50,181,1,star.png
50,182,1,star.png
50,183,1,star.png
50,184,1,star.png
50,185,1,star.png
51,81,1,star.png
51,82,1,star.png
51,95,1,star.png
51,96,1,star.png
51,164,1,star.png
51,170,1,star.png
51,171,1,star.png
51,172,1,star.png
51,177,1,star.png
51,178,1,star.png
51,179,1,star.png
51,180,1,star.png
51,181,1,star.png
51,182,1,star.png
51,183,1,star.png
51,184,1,star.png
51,185,1,star.png
51,186,1,star.png
52,81,1,star.png
52,82,1,star.png
52,95,1,star.png
52,96,1,star.png
52,159,1,star.png
52,160,1,star.png
52,161,1,star.png
52,162,1,star.png
52,163,1,star.png
52,164,1,star.png
52,165,1,star.png
52,170,1,star.png
52,171,1,star.png
52,177,1,star.png
52,178,1,star.png
52,179,1,star.png
52,184,1,star.png
52,185,1,star.png
52,186,1,star.png
53,81,1,star.png
53,82,1,star.png
53,95,1,star.png
53,96,1,star.png
53,157,1,star.png
53,158,1,star.png
53,159,1,star.png
53,160,1,star.png
53,161,1,star.png
53,162,1,star.png
53,163,1,star.png
53,164,1,star.png
53,165,1,star.png
53,167,1,star.png
53,168,1,star.png
53,169,1,star.png
53,170,1,star.png
53,171,1,star.png
53,183,1,star.png
53,184,1,star.png
53,185,1,star.png
54,81,1,star.png
54,82,1,star.png
54,95,1,star.png
54,96,1,star.png
54,157,1,star.png
54,158,1,star.png
54,159,1,star.png
54,164,1,star.png
54,165,1,star.png
54,166,1,star.png
54,167,1,star.png
54,168,1,star.png
54,169,1,star.png
54,170,1,star.png
54,183,1,star.png
54,184,1,star.png
55,81,1,star.png
55,82,1,star.png
55,95,1,star.png
55,96,1,star.png
55,157,1,star.png
55,158,1,star.png
55,159,1,star.png
55,164,1,star.png
55,165,1,star.png
55,166,1,star.png
55,178,1,star.png
55,179,1,star.png
55,180,1,star.png
55,182,1,star.png
55,183,1,star.png
55,184,1,star.png
56,81,1,star.png
56,82,1,star.png
56,95,1,star.png
56,96,1,star.png
56,154,1,star.png
56,155,1,star.png
56,156,1,star.png
56,157,1,star.png
56,158,1,star.png
56,159,1,star.png
56,177,1,star.png
56,178,1,star.png
56,179,1,star.png
56,180,1,star.png
56,181,1,star.png
56,182,1,star.png
56,183,1,star.png
57,81,1,star.png
57,82,1,star.png
57,95,1,star.png
57,96,1,star.png
57,150,1,star.png
57,151,1,star.png
57,152,1,star.png
57,153,1,star.png
57,154,1,star.png
57,155,1,star.png
57,156,1,star.png
57,157,1,star.png
57,177,1,star.png
